#identifier,name,sponsor
amaterasu,"Amaterasu","Incubator"
annotator,"Annotator","Incubator"
batchee,"BatchEE","Incubator"
brpc,"BRPC","Incubator"
crail,"Crail","Incubator"
daffodil,"Daffodil","Incubator"
datasketches,"DataSketches","Incubator"
dlab,"DLab","Incubator"
dolphinscheduler,"DolphinScheduler","Incubator"
doris,"Doris","Incubator"
druid,"Druid","Incubator"
echarts,"ECharts","Incubator"
edgent,"Edgent","Incubator"
flagon,"Flagon","Incubator"
gobblin,"Gobblin","Incubator"
heron,"Heron","Incubator"
hivemall,"Hivemall","Incubator"
hudi,"Hudi","incubator"
iceberg,"Iceberg","Incubator"
iotdb,"IoTDB","Incubator"
livy,"Livy","Incubator"
marvin-ai,"Marvin-AI","Incubator"
mesatee,"MesaTEE","Incubator"
milagro,"Milagro","Incubator"
mxnet,"MXNet","Incubator"
myriad,"Myriad","Incubator"
nemo,"Nemo","Incubator"
omid,"Omid","Incubator"
pagespeed,"PageSpeed","Incubator"
pinot,"Pinot","Incubator"
ponymail,"PonyMail","Incubator"
ratis,"Ratis","Incubator"
s2graph,"S2Graph","Incubator"
samoa,"SAMOA","Incubator"
sdap,"SDAP","Incubator"
shardingsphere,"ShardingSphere","Incubator"
singa,"SINGA","Incubator"
spot,"Spot","Incubator"
superset,"Superset","Incubator"
tamaya,"Tamaya","Incubator"
taverna,"Taverna","Incubator"
tephra,"Tephra","Incubator"
toree,"Toree","Incubator"
training,"Training","Incubator"
tuweni,"Tuweni","Incubator"
tvm,"TVM","Incubator"
warble,"Warble","Incubator"
weex,"Weex","Incubator"
